year_released,artist,track,time,genre,date_entered,date_peaked,weeks_on_chart,days_to_peak,Week,Ranking,week_date,rank_on_chart
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,56 days 00:00:00.000000000,1,78.0,2000-09-23,23.0
2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,56 days 00:00:00.000000000,1,15.0,2000-02-12,86.0
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,98 days 00:00:00.000000000,1,71.0,1999-10-23,30.0
2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,35 days 00:00:00.000000000,1,41.0,2000-08-12,60.0
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,70 days 00:00:00.000000000,1,57.0,2000-08-05,44.0
2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,70 days 00:00:00.000000000,1,59.0,2000-06-17,42.0
2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,84 days 00:00:00.000000000,1,83.0,1999-12-25,18.0
2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,84 days 00:00:00.000000000,1,63.0,2000-04-01,38.0
2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,49 days 00:00:00.000000000,1,77.0,2000-06-24,24.0
2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,273 days 00:00:00.000000000,1,81.0,1999-06-05,20.0
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,84 days 00:00:00.000000000,1,82.0,2000-05-06,19.0
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,49 days 00:00:00.000000000,1,71.0,1999-11-27,30.0
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,175 days 00:00:00.000000000,1,70.0,2000-01-22,31.0
2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,182 days 00:00:00.000000000,1,84.0,2000-05-13,17.0
2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,91 days 00:00:00.000000000,1,59.0,2000-03-18,42.0
2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,84 days 00:00:00.000000000,1,60.0,2000-04-29,41.0
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,70 days 00:00:00.000000000,1,82.0,1999-12-11,19.0
2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,168 days 00:00:00.000000000,1,81.0,1999-11-06,20.0
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,105 days 00:00:00.000000000,1,72.0,2000-08-19,29.0
2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,91 days 00:00:00.000000000,1,99.0,2000-09-30,2.0
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,49 days 00:00:00.000000000,1,63.0,2000-03-18,38.0
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,98 days 00:00:00.000000000,1,77.0,2000-02-26,24.0
