,Gross domestic product 2015,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 17,946,996 ",,,,,
CHN,2,,China," 10,866,444 ",,,,,
JPN,3,,Japan," 4,123,258 ",,,,,
DEU,4,,Germany," 3,355,772 ",,,,,
GBR,5,,United Kingdom," 2,848,755 ",,,,,
FRA,6,,France," 2,421,682 ",,,,,
IND,7,,India," 2,073,543 ",,,,,
ITA,8,,Italy," 1,814,763 ",,,,,
BRA,9,,Brazil," 1,774,725 ",,,,,
CAN,10,,Canada," 1,550,537 ",,,,,
KOR,11,,"Korea, Rep."," 1,377,873 ",,,,,
AUS,12,,Australia," 1,339,539 ",,,,,
RUS,13,,Russian Federation," 1,326,015 ",a,,,,
ESP,14,,Spain," 1,199,057 ",,,,,
MEX,15,,Mexico," 1,144,331 ",,,,,
IDN,16,,Indonesia," 861,934 ",,,,,
NLD,17,,Netherlands," 752,547 ",,,,,
TUR,18,,Turkey," 718,221 ",,,,,
CHE,19,,Switzerland," 664,738 ",,,,,
SAU,20,,Saudi Arabia," 646,002 ",,,,,
ARG,21,,Argentina," 583,169 ",b,,,,
SWE,22,,Sweden," 492,618 ",,,,,
NGA,23,,Nigeria," 481,066 ",,,,,
POL,24,,Poland," 474,783 ",,,,,
BEL,25,,Belgium," 454,039 ",,,,,
IRN,26,,"Iran, Islamic Rep."," 425,326 ",,,,,
THA,27,,Thailand," 395,282 ",,,,,
NOR,28,,Norway," 388,315 ",,,,,
AUT,29,,Austria," 374,056 ",,,,,
ARE,30,,United Arab Emirates," 370,293 ",,,,,
EGY,31,,"Egypt, Arab Rep."," 330,779 ",,,,,
ZAF,32,,South Africa," 312,798 ",,,,,
HKG,33,,"Hong Kong SAR, China"," 309,929 ",,,,,
MYS,34,,Malaysia," 296,218 ",,,,,
ISR,35,,Israel," 296,075 ",,,,,
DNK,36,,Denmark," 295,164 ",,,,,
SGP,37,,Singapore," 292,739 ",,,,,
COL,38,,Colombia," 292,080 ",,,,,
PHL,39,,Philippines," 291,965 ",,,,,
PAK,40,,Pakistan," 269,971 ",,,,,
CHL,41,,Chile," 240,216 ",,,,,
IRL,42,,Ireland," 238,020 ",,,,,
FIN,43,,Finland," 229,810 ",,,,,
PRT,44,,Portugal," 198,931 ",,,,,
GRC,45,,Greece," 195,212 ",,,,,
BGD,46,,Bangladesh," 195,079 ",,,,,
VNM,47,,Vietnam," 193,599 ",,,,,
PER,48,,Peru," 192,084 ",,,,,
KAZ,49,,Kazakhstan," 184,361 ",,,,,
CZE,50,,Czech Republic," 181,811 ",,,,,
ROM,51,,Romania," 177,954 ",,,,,
NZL,52,,New Zealand," 173,754 ",,,,,
IRQ,53,,Iraq," 168,607 ",,,,,
QAT,54,,Qatar," 166,908 ",,,,,
DZA,55,,Algeria," 166,839 ",,,,,
HUN,56,,Hungary," 120,687 ",,,,,
KWT,57,,Kuwait," 112,812 ",,,,,
PRI,58,,Puerto Rico," 103,135 ",,,,,
AGO,59,,Angola," 102,643 ",,,,,
ECU,60,,Ecuador," 100,872 ",,,,,
MAR,61,,Morocco," 100,360 ",c,,,,
UKR,62,,Ukraine," 90,615 ",a,,,,
SVK,63,,Slovak Republic," 86,582 ",,,,,
SDN,64,,Sudan," 84,067 ",,,,,
LKA,65,,Sri Lanka," 82,316 ",,,,,
CUB,66,,Cuba," 77,150 ",,,,,
OMN,67,,Oman," 70,255 ",,,,,
DOM,68,,Dominican Republic," 67,103 ",,,,,
UZB,69,,Uzbekistan," 66,733 ",,,,,
MMR,70,,Myanmar," 64,866 ",,,,,
GTM,71,,Guatemala," 63,794 ",,,,,
KEN,72,,Kenya," 63,398 ",,,,,
ETH,73,,Ethiopia," 61,537 ",,,,,
LUX,74,,Luxembourg," 57,794 ",,,,,
BLR,75,,Belarus," 54,609 ",,,,,
URY,76,,Uruguay," 53,443 ",,,,,
AZE,77,,Azerbaijan," 53,047 ",,,,,
PAN,78,,Panama," 52,132 ",,,,,
CRI,79,,Costa Rica," 51,107 ",,,,,
BGR,80,,Bulgaria," 48,953 ",,,,,
HRV,81,,Croatia," 48,732 ",,,,,
LBN,82,,Lebanon," 47,103 ",,,,,
MAC,83,,"Macao SAR, China"," 46,178 ",,,,,
TZA,84,,Tanzania," 44,895 ",d,,,,
TUN,85,,Tunisia," 43,015 ",,,,,
SVN,86,,Slovenia," 42,747 ",,,,,
LTU,87,,Lithuania," 41,244 ",,,,,
GHA,88,,Ghana," 37,864 ",,,,,
JOR,89,,Jordan," 37,517 ",,,,,
TKM,90,,Turkmenistan," 37,334 ",,,,,
SRB,91,,Serbia," 36,513 ",,,,,
YEM,92,,"Yemen, Rep."," 35,955 ",,,,,
ZAR,93,,"Congo, Dem. Rep."," 35,238 ",,,,,
BOL,94,,Bolivia," 33,197 ",,,,,
BHR,95,,Bahrain," 32,221 ",,,,,
CIV,96,,Côte d'Ivoire," 31,753 ",,,,,
CMR,97,,Cameroon," 29,198 ",,,,,
LBY,98,,Libya," 29,153 ",,,,,
TTO,99,,Trinidad and Tobago," 27,806 ",,,,,
PRY,100,,Paraguay," 27,623 ",,,,,
LVA,101,,Latvia," 27,035 ",,,,,
UGA,102,,Uganda," 26,369 ",,,,,
SLV,103,,El Salvador," 25,850 ",,,,,
EST,104,,Estonia," 22,691 ",,,,,
ZMB,105,,Zambia," 21,202 ",,,,,
NPL,106,,Nepal," 20,881 ",,,,,
HND,107,,Honduras," 20,152 ",,,,,
CYP,108,,Cyprus," 19,320 ",e,,,,
AFG,109,,Afghanistan," 19,199 ",,,,,
KHM,110,,Cambodia," 18,050 ",,,,,
